SCTG,Air,For-hire Truck,Other,Parcel,Private Truck,Rail/IMX
1,1896.8133500000001,33749.0155,,,,
2,,3554634.4452,45741268.22195,,41961.434649999996,14563335.577300001
3,95517.11275,5786711.88365,28078745.31675,2434.21605,60844.626000000004,5996617.5327
4,6090.186699999999,4542651.7719,1750981.38915,3664.3869999999997,61913.11285,3001832.9718
5,24348.1574,3597332.4549000002,933706.29855,18.732599999999998,2492.91775,
6,2213.1565,1703108.27525,49059.2918,22489.35825,34806.923500000004,1226218.7878
7,23220.73465,5100142.8812,1403152.40665,40577.96895,241180.4655,5081730.612
8,2466.89545,1266433.1741,400223.64075,585.854,,265276.45645
9,,29070.866850000002,,1330.10775,,
10,,103159.2851,119.39529999999999,,14515.246,
11,,978072.86525,1657.6402500000002,31.07225,26572.624649999998,9235306.4318
12,,742289.92325,391846.21800000005,,6367.051950000001,487998.4284
13,992.7747999999999,4624289.0192,1499080.0196,340.241,3.4408,2399137.23425
14,2167.67615,700122.7124,3390086.45365,47.5334,,12284360.99295
15,,109311.7346,5239593.7481,,,73210023.5936
17,,60801.3818,5040183.347,,,1042901.00175
18,,1699002.1704,12774123.6774,,1210504.9936000002,101725.29685
19,39510.09175,6696550.35185,5685282.72815,4228.56795,344732.92095,2017160.4141
20,26623.7691,7385297.36245,4805719.37875,11388.9724,732638.96755,10717906.48185
21,97830.3228,580099.4544,95349.25775,96819.70745,,49442.45525
22,4874.1361,473823.5036,33093.57119999999,100.13505,214984.2411,1821211.9759499999
23,106501.47375,8655253.1763,680758.4925,70405.5753,93034.03450000001,1347889.83925
24,187220.3287,12749000.7953,454445.9476000001,28035.3756,244021.1958,2576293.18225
25,,898185.56545,117161.529,,74043.50595,694398.01265
26,1165.4321499999999,6562727.64455,3493663.17715,1523.9139499999999,165647.34985,453865.512
27,1062.1315,8296286.3426,1204603.00005,401.2599,43478.7836,2599308.65195
28,3226.84595,2821130.3881,89405.5692,6639.21175,14049.0968,120169.42415
29,29019.80325,300147.8148,,27694.768,9372.20435,64219.82375
30,67476.62095,2297181.1571,629261.95415,56902.8193,99166.2537,25455.71765
31,32619.747750000002,5822810.28165,142228.20175,4061.23065,1497244.8721999999,932796.51785
32,88486.8498,7987448.9082,1965639.4299999997,7597.2987,183072.9501,2107117.4702500002
33,129321.69835,4027918.2388,42398.7223,22926.9054,349038.2043,1985935.33185
34,326090.03655,5559346.1464,202996.27645,78021.72865,56101.2438,288174.6866
35,448486.52865,2958844.7468499998,3220.68995,125865.549,24202.8295,411812.26625
36,209613.2224,8797607.93945,703970.88295,66872.5865,126942.26675,606990.7902
37,58704.13475,184839.6068,2252.47435,13681.90815,1889.6357,197482.0342
38,201086.44195,562812.15195,32952.732950000005,69336.71345,5099.907099999999,165213.02980000002
39,16520.32075,520368.19515,4056.23965,11278.2615,195682.3302,
40,228722.19879999998,1622722.65295,43981.28935,88778.10535,60160.8952,24168.368799999997
41,557.0913,24015243.5181,1781808.54955,,33897.333750000005,18408163.0812
43,120312.56185000001,3003815.2399,461437.7015,17302.25425,33681.5793,1548.573
